,SMILES,NAME,SOURCE_SPECIES,REFERENCE,NPC_PATHWAY_1,NPC_PATHWAY_2,NPC_PATHWAY_3,NPC_SUPERCLASS_1,NPC_SUPERCLASS_2,NPC_SUPERCLASS_3,NPC_CLASS_1,NPC_CLASS_2,NPC_CLASS_3,NPC_CLASS_4,NPC_IS_GLYCOSIDE,MOL_WT,HBA_COUNT,HBD_COUNT,ROTABLE_BONDS,CLOGP,TPSA,ACID_GROUP_COUNT,BASE_GROUP_COUNT
10,O=C(C=Cc1ccc(O)c(O)c1)OC1(C(=O)O)CC(O)C(O)C(O)C1,['Caffeoylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,354.31100000000004,8,6,4,-0.6459000000000006,164.75,3,0
11,COc1cc(C=CC(=O)OC2C(O)CC(O)(C(=O)O)CC2O)ccc1O,['Feruloylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,368.3380000000001,8,5,5,-0.3429000000000003,153.75,3,0
12,COc1cc(C=CC(=O)O[C@@H]2C[C@](O)(C(=O)O)C[C@@H](O)[C@H]2OC(=O)C=Cc2ccc(O)c(O)c2)ccc1O,['Caffeoylferuloylquinic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,530.4820000000002,11,6,8,1.3325999999999996,200.28,5,0
13,O=C(C=Cc1ccc(O)cc1)OC1CC(O)(C(=O)O)CC(O)C1O,['p-coumaroylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,338.312,7,5,4,-0.3515000000000003,144.52,2,0
14,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"['Quercetin', 'Quercetin', 'Quercetin', 'Quercetin']","['Phyllanthus acuminatus', 'Nephelium lappaceum', 'Ziziphus mauritiana', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26216493', 'https://doi.org/10.18845/tm.v37i7.7298', 'https://doi.org/10.1002/fsn3.3317', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,,False,302.23800000000006,7,5,1,1.988,131.36,4,0
15,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4,['Procyanidin dimer A'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,576.5100000000003,12,9,2,2.7935000000000016,209.76,8,0
16,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,"['Procyanidin B-type dimer', 'PAC B-Type (E) C-(E)C']","['Phyllanthus acuminatus', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26216493', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.9950000000000028,220.76,9,0
17,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,['Procyanidin B-type tetramer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,1155.0360000000007,24,20,7,5.892800000000023,441.52000000000015,19,0
18,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,['Procyanidin A-type trimer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,864.7650000000004,18,14,4,4.242400000000013,320.14,13,0
19,O=C(O)C1(O)CC(O)C(O)C(O)C1,['Quinic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Shikimic acids and derivatives,Simple phenolic acids,,,False,192.167,5,5,1,-2.321400000000001,118.22,1,0
20,O=C(O)c1ccccc1,"['Benzoic acid', 'Benzoic acid', 'Benzoic acid', 'Benzoic acid']","['Petiveria alliaceae', 'Posoqueria latifolia', 'Psidium friedrichsthalianum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'Tesis WZ ', 'https://doi.org/10.3390/molecules22010011 ', 'https://doi.org/10.4172/2329-6836.1000236']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,,False,122.12299999999996,1,1,1,1.3848,37.3,1,0
21,O=C(O)c1ccccc1O,"['Salicylic acid', 'Salicylic acid', 'Salicylic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,,False,138.122,2,2,1,1.0903999999999998,57.53,2,0
22,O=C(O)c1ccc(O)cc1,"['4-Hydroxybenzoic acid', '4-Hydroxybenzoic acid', '4-Hydroxybenzoic acid', '4-Hydroxybenzoic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,,False,138.122,2,2,1,1.0903999999999998,57.53,2,0
23,O=C(O)c1ccc(O)c(O)c1,"['Protocatechuic acid', 'Protocatechuic acid', 'Protocatechuic acid', 'Protocatechuic acid', 'Protocatechuic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Posoqueria latifolia', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'Tesis WZ ', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,,False,154.12099999999998,3,3,1,0.7959999999999998,77.76,3,0
24,O=C(O)c1cc(O)c(O)c(O)c1,"['Gallic acid', 'Gallic acid', 'Gallic acid', 'Gallic acid', 'Gallic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Psidium friedrichsthalianum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,Simple phenolic acids,,,False,170.11999999999998,4,4,1,0.5015999999999998,97.99,4,0
25,COc1cc(C(=O)O)ccc1O,"['Vanillic acid', 'Vanillic acid', 'Vanillic acid', 'Vanillic acid', 'Vanillic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Phlebodium aureum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.1038/s41598-023-50281-3', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),Phenylpropanoids (C6-C3),,Cinnamic acids and derivatives,Simple phenolic acids,,,False,168.148,3,2,2,1.0989999999999998,66.76,3,0
26,COc1cc(C(=O)O)cc(OC)c1O,"['Syringic acid', 'Syringic acid', 'Syringic acid']","['Petiveria alliaceae', 'Senna reticulata', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,,False,198.174,4,2,3,1.1076,75.99000000000001,3,0
27,O=C(O)C=Cc1ccc(O)cc1,"['p-Coumaric acid', 'p-Coumaric acid', 'p-Coumaric acid', 'p-Coumaric acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Phlebodium aureum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.1038/s41598-023-50281-3']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,164.16,2,2,2,1.49,57.53,2,0
28,O=C(O)C=Cc1ccc(O)c(O)c1,"['Caffeic acid', 'Caffeic acid', 'Caffeic acid', 'Caffeic Acid', 'Caffeic acid', 'Caffeic acid', 'Caffeic acid']","['Petiveria alliacea', 'Phyllanthus niruri', 'Senna reticulata', 'Uncaria tomentosa', 'Phlebodium aureum', 'Psidium friedrichsthalianum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules201219876', 'https://doi.org/10.1038/s41598-023-50281-3', 'https://doi.org/10.3390/molecules22010011 ', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,180.159,3,3,2,1.1956,77.76,3,0
29,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,"['(+)-Catechin', '(+)-Catechin', ' (+)-catechin', 'Catechin']","['Phyllanthus niruri', 'Senna reticulata', 'Psidium friedrichsthalianum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,,False,290.271,6,5,1,1.5460999999999998,110.38,4,0
30,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,"['(−)-Epicatechin', '(−)-Epicatechin']","['Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,,False,290.271,6,5,1,1.5460999999999998,110.38,4,0
31,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,"['Procyanidin B1', ' procyanidin B1']","['Phyllanthus niruri ', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.9950000000000028,220.76,9,0
32,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,"['Procyanidin B2', ' procyanidin B2']","['Phyllanthus niruri ', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.9950000000000028,220.76,9,0
33,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,['Procyanidin B3'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.9950000000000028,220.76,9,0
34,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,['Procyanidin B4'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.9950000000000028,220.76,9,0
35,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc2c(c1O)C[C@@H](O)[C@@H](c1ccc(O)c(O)c1)O2,['Procyanidin B5'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,578.5260000000003,12,10,3,2.995000000000002,220.76,8,0
36,O=C(O)C1CC(=O)C(O)C(O)C1,"['Shikimic acid', 'Shikimic acid']","['Malus domestica', 'Alchornea glandulosa']","['https://doi.org/10.3390/molecules26237367', 'Tesis Soledad']",,,,,,,,,,,False,174.15200000000002,4,3,1,-1.2281000000000002,94.83,1,0
37,COC(=O)C=Cc1ccc(O)cc1,['Methyl-p-coumaroylquinic acid (I of II)'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,178.18699999999998,3,1,2,1.5783999999999998,46.53,1,0
38,COc1cc(C=CC(=O)O[C@@H]2C[C@](O)(C(=O)O)C[C@@H](O)[C@H]2O)ccc1O,['Feruloylquinic acid '],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,368.338,8,5,5,-0.3429000000000003,153.75,3,0
39,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,['Phloridzin'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,,True,436.4130000000001,10,7,7,-0.2024000000000002,177.14,4,0
40,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,"['Phloretin', 'Phloretin']","['Malus domestica', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26237367', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,,False,274.272,5,4,4,2.324500000000001,97.99,4,0
41,CC1OC(OCC2OC(Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4c3)C(O)C(O)C2O)C(O)C(O)C1O,['Quercetin-rutinoside'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,,True,610.5210000000004,16,10,6,-1.687100000000001,269.42999999999995,4,0
42,O=c1c(OC2OCC(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,['Quercetin-pentoside'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,,True,434.3530000000002,11,7,3,0.1001999999999995,190.28,4,0
43,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,['(epi)catechin 3-O-gallate'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,,False,442.37600000000015,10,7,3,2.5276000000000005,177.14,8,0
44,O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)cc1O,['3-hydroxyphloretin'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,,False,290.271,6,5,4,2.0301000000000005,118.22,5,0
45,O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,"['Cinchonain', 'Cinchonain I isomer']","['Uncaria tomentosa', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules201219875', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,,False,452.4150000000002,9,6,2,2.692700000000003,156.91,6,0
46,COc1cc(C=CC(=O)O)cc(OC)c1O,['Sinapic acid'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,224.212,4,2,4,1.5072,75.99000000000001,3,0
47,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,"['Ellagic acid', 'Ellagic Acid', 'Ellagic acid', 'Ellagic acid']","['Mangifera indica', 'Chamaecrista nictitans', 'Nephelium lappaceum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/foods8090384', 'https://doi.org/10.1007/s00216-014-7982-6', 'https://doi.org/10.18845/tm.v37i7.7298', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,False,302.1940000000001,8,4,0,1.3127999999999995,141.34000000000003,2,0
48,O=C(OC1CC(O)(C(=O)O)CC(O)C1O)c1cc(O)c(O)c(O)c1,['Galloylquinic acid'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,Shikimic acids and derivatives,Simple phenolic acids,,False,344.2720000000001,9,7,3,-1.3399,184.98,4,0
49,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,['Manguiferin'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Xanthones,,,Plant xanthones,,,,False,422.3420000000001,11,8,2,-0.7165000000000005,201.28,4,0
50,O=C(OCC1OC(c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,['Mangiferin-di-O-gallate'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Xanthones,,,Plant xanthones,,,,False,574.4470000000002,15,10,4,0.2649999999999987,268.04,7,0
51,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,['Rhamnetin'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,,False,316.26500000000004,7,4,2,2.2910000000000013,120.36,4,0
52,O=C(C=Cc1ccc(O)cc1)CC(O)CCc1ccc(O)cc1,"['5-hydroxy-1,7-bis(4- hydroxyphenyl)hept-1-en-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,312.365,4,3,7,3.063900000000001,77.76,2,0
53,COc1cc(C=CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,"['1,5-bis(4-hydroxy-3- methoxyphenyl)pent-1-en-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,326.348,5,2,6,3.4107000000000025,75.99000000000001,4,0
54,O=C(CCc1ccc(O)cc1)CC(=O)CCc1ccc(O)cc1,['Tetrahydrobisdemethoxycurcumin'],['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,312.36499999999995,4,2,8,3.1915000000000022,74.6,2,0
55,COc1cc(C=CC(=O)C=Cc2cccc(O)c2)ccc1O,"['2-(3,4-dihydroxybenzylidene)-5- (4-hydroxy-3-methoxystyryl)furan3(2H)-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,296.32200000000006,4,2,5,3.402100000000002,66.76,3,0
56,COc1cc(C=CC(=O)C=Cc2ccc(O)cc2)ccc1O,"['1-(4-hydroxy-3-methoxyphenyl)-5- (4-hydroxyphenyl)penta-1,4-dien-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,296.32200000000006,4,2,5,3.402100000000002,66.76,3,0
57,O=C(C=CC=Cc1ccc(O)cc1)C=Cc1ccc(O)cc1,"['1,7-bis(4-hydroxyphenyl)-1,4,6- heptatrien-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,292.334,3,2,5,3.9497000000000018,57.53,2,0
58,O=C(C=Cc1ccc(O)cc1)CC(=O)CCc1ccc(O)cc1,"['1-(4-hydroxyphenyl)-7-phenylhept-1- ene-3,5-dione']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,,False,310.349,4,2,7,3.272100000000002,74.6,2,0
